Donald Dufresne,74 fe 8f 00 
Doug Bodger,cd a5 98 00 
Doug Crossman,e8 e1 99 00 
Doug Evans,3d b1 9a 00 
Doug Gilmour,ab a8 9a 00 
Doug Houda,3d b1 9a 00 
Doug Lidster,0a bf 97 00 
Doug Smail,74 fe 8f 00 
Doug Weight,76 d8 98 00 
Doug Wilson,2c 87 98 00 
Doug Zmolek,74 fe 8f 00 
Drake Berehowsky,e8 e1 99 00 
Ed Belfour,00 a6 97 00 
Ed Courtenay,e8 e1 99 00 
Ed Olczyk,e8 e1 99 00 
Ed Ronan,74 fe 8f 00 
Enrico Ciccone,3d b1 9a 00 
Eric Desjardins,ec 88 99 00 
Eric Lindros,bc da 98 00 
Eric Weinrich,19 af 98 00 
Esa Tikkanen,8d b2 97 00 
Evgeny Davydov,74 fe 8f 00 
Felix Potvin,93 8f 99 00 
Frank Musil,3d b1 9a 00 
Frank Pietrngelo,4e c6 99 00 
Frantsek Kucera,3d b1 9a 00 
Fredrik Olausson,3d b1 9a 00 
Gaetan Duchesne,74 fe 8f 00 
Garry Galley,8e c1 98 00 
Garry Valk,e8 e1 99 00 
Garth Butcher,01 e4 99 00 
Gary Leeman,3d b1 9a 00 
Gary Roberts,05 aa 99 00 
Gary Shuchuk,e8 e1 99 00 
Gary Suter,95 8e 97 00 
Geoff Courtnall,a5 ba 98 00 
Geoff Sanderson,c7 ac 98 00 
Geoff Smith,3d b1 9a 00 
Gerald Diduck,74 fe 8f 00 
Gerard Gallant,74 fe 8f 00 
Gilbert Dionne,e8 e1 99 00 
Gino Cavallini,3d b1 9a 00 
Gino Odjick,3d b1 9a 00 
Glen Feathrston,74 fe 8f 00 
Glen Wesley,74 fe 8f 00 
Glenn Anderson,74 fe 8f 00 
Glenn Healy,b3 86 99 00 
Gord Dineen,74 fe 8f 00 
Gord Donnelly,74 fe 8f 00 
Gord Hynes,e8 e1 99 00 
Gord Murphy,6c d0 97 00 
Gordie Roberts,e8 e1 99 00 
Grant Fuhr,5d 8d 99 00 
Grant Jennings,e8 e1 99 00 
Grant Ledyard,e8 e1 99 00 
Greg Adams,e8 e1 99 00 
Greg Gilbert,e8 e1 99 00 
Greg Hawgood,74 fe 8f 00 
Greg Paslawski,74 fe 8f 00 
Greg Smyth,e8 e1 99 00 
Gregori Pantaleyev,3d b1 9a 00 
Guy Carbonneau,3d b1 9a 00 
Guy Hebert,36ac9900
Igor Korolev,74 fe 8f 00 
Igor Kravchuk,97 b0 99 00 
Igor Ulanov,74 fe 8f 00 
J.C. Bergeron,4e c6 99 00 
J.J. Daigneault,3d b1 9a 00 
James Patrick,c8 84 98 00 
Jamie Baker,19 e6 99 00 
Jamie Leach,74 fe 8f 00 
Jamie Macoun,74 fe 8f 00 
Jan Erixon,e8 e1 99 00 
Janne Ojanen,74 fe 8f 00 
Jari Kurri,74 fe 8f 00 
Jaromir Jagr,70 9f 9a 00 
Jason Lafreniere,e8 e1 99 00 
Jason Woolley,e8 e1 99 00 
Jay Caufield,e8 e1 99 00 
Jay More,3d b1 9a 00 
Jay Wells,74 fe 8f 00 
Jeff Beukeboom,74 fe 8f 00 
Jeff Brown,8a e1 98 00 
Jeff Daniels,74 fe 8f 00 
Jeff Hackett,4e c6 99 00 
Jeff Lazaro,3d b1 9a 00 
Jeff Norton,74 fe 8f 00 
Jeff Odgers,e8 e1 99 00 
Jeff Reese,4e c6 99 00 
Jeremy Roenick,95 ea 98 00 
Jesse Belanger,74 fe 8f 00 
Jim Hiller,e8 e1 99 00 
Jim Hrivnak,4e c6 99 00 
Jim Johnson,3d b1 9a 00 
Jim McKenzie,3d b1 9a 00 
Jim Paek,74 fe 8f 00 
Jim Sandlak,e8 e1 99 00 
Jim Waite,4e c6 99 00 
Jim Wiemer,3d b1 9a 00 
Jimmy Carson,74 fe 8f 00 
Jiri Slegr,e8 e1 99 00 
Jocelyn Lemieux,74 fe 8f 00 
Jody Hull,74 fe 8f 00 
Joe Cirella,bc f9 97 00 
Joe Juneau,cd e3 98 00 
Joe Mullen,e8 e1 99 00 
Joe Murphy,3d b1 9a 00 
Joe Nieuwendyk,ba cc 99 00 
Joe Reekie,e8 e1 99 00 
Joe Sakic,a0 a5 99 00 
Joel Otto,74 fe 8f 00 
Joey Kocur,74 fe 8f 00 
Johan Garpenlov,51 fa 98 00 
John Blue,4e c6 99 00 
John Carter,74 fe 8f 00 
John Cullen,e8 e1 99 00 
John Druce,3d b1 9a 00 
John Leclair,74 fe 8f 00 
John MacLean,e8 e1 99 00 
John Ogrodnick,3d b1 9a 00 
John Tucker,e8 e1 99 00 
John Vanbiesbrk,88 c1 97 00 
Jon Casey,81 fd 96 00 
Josef Beranek,74 fe 8f 00 
Jyrki Lumme,b5 dd 99 00 
Kay Whitmore,4e c6 99 00 
Keith Acton,3d b1 9a 00 
Keith Brown,74 fe 8f 00 
Keith Carney,e8 e1 99 00 
Keith Jones,e8 e1 99 00 
Keith Primeau,e8 e1 99 00 
Keith Tkachuk,e8 e1 99 00 
Kelly Buchberger,3d b1 9a 00 
Kelly Chase,3d b1 9a 00 
Kelly Hrudey,0b e4 97 00 
Kelly Kisio,b9 b3 98 00 
Kelly Miller,3d b1 9a 00 
Ken Baumgartnr,74 fe 8f 00 
Ken Daneyko,74 fe 8f 00 
Ken Hammond,e8 e1 99 00 
Ken Sutton,3d b1 9a 00 
Ken Wregget,4e c6 99 00 
Kerry Huffman,e8 e1 99 00 
Kevin Dahl,74 fe 8f 00 
Kevin Dineen,3d b1 9a 00 
Kevin Haller,e8 e1 99 00 
Kevin Hatcher,53 e8 98 00 
Kevin Lowe,3d b1 9a 00 
Kevin Miller,e8 e1 99 00 
Kevin Stevens,10 e6 98 00 
Kevin Todd,e8 e1 99 00 
Kirk McLean,db c3 98 00 
Kirk Muller,ac f8 99 00 
Kjell Samuelsson,3d b1 9a 00 
Kris King,74 fe 8f 00 
Larry Murphy,31 8a 9a 00 
Laurie Boschman,e8 e1 99 00 
Lee Norwood,e8 e1 99 00 
Lonnie Loach,e8e19900
Louie DeBrusk,74 fe 8f 00 
Luc Robitaille,2e d6 98 00 
Luciano Borsato,3d b1 9a 00 
Luke Richardson,74 fe 8f 00 
Lyle Odelein,e8 e1 99 00 
Marc Bergevin,3d b1 9a 00 
Marc Bureau,e8 e1 99 00 
Mario Gosselin,4e c6 99 00 
Mario Lemieux,00 a5 9a 00
Mario Roberge,e8 e1 99 00 
Mark Fitzpatrik,4e c6 99 00 
Mark Freer,3d b1 9a 00 
Mark Greig,e8 e1 99 00 
Mark Hardy,3d b1 9a 00 
Mark Howe,e8 e1 99 00 
Mark Janssens,74 fe 8f 00 
Mark Lamb,e8 e1 99 00 
Mark Messier,41 bf 98 00 
Mark Osborne,3d b1 9a 00 
Mark Osiecki,e8 e1 99 00 
Mark Pederson,74 fe 8f 00 
Mark Recchi,bf 97 98 00 
Mark Tinordi,d6 ec 98 00 
Martin Gelinas,e8 e1 99 00 
Martin Rucinsky,e8 e1 99 00 
Martin Straka,74 fe 8f 00 
Marty McInnis,e8 e1 99 00 
Marty McSorley,fe c8 97 00 
Mats Sundin,1f 90 9a 00 
Matt Hervey,3d b1 9a 00 
Matt Schneider,cf df 99 00 
Michal Pivonka,74 fe 8f 00 
Michel Goulet,21 a8 98 00 
Michel Petit,e8 e1 99 00 
Mick Vukota,e8 e1 99 00 
Mikael Andersson,89 f2 99 00 
Mikael Nylander,e8 e1 99 00 
Mike Craig,74 fe 8f 00 
Mike Donnelly,3d b1 9a 00 
Mike Eagles,e8 e1 99 00 
Mike Foligno,e8 e1 99 00 
Mike Gartner,54 cf 98 00 
Mike Hartman,3d b1 9a 00 
Mike Hough,e8 e1 99 00 
Mike Hudson,3d b1 9a 00 
Mike Keane,74 fe 8f 00 
Mike Krushelski,74 fe 8f 00 
Mike Lalor,3d b1 9a 00 
Mike McPhee,e8 e1 99 00 
Mike Modano,8b ad 97 00 
Mike Needham,3d b1 9a 00 
Mike Peluso,e8 e1 99 00 
Mike Ramsey,74 fe 8f 00 
Mike Ricci,74 fe 8f 00 
Mike Richter,26 8e 9a 00 
Mike Ridley,0c b0 97 00 
Mike Sillinger,3d b1 9a 00 
Mike Stapleton,3d b1 9a 00 
Mike Sullivan,74 fe 8f 00 
Mike Vernon,0d ba 97 00 
Mikhail Tatarinov,e8 e1 99 00 
Milan Tichy,74 fe 8f 00 
Murray Baron,e8 e1 99 00 
Murray Craven,3d b1 9a 00 
Myles O'Connor,e8 e1 99 00 
Neal Broten,74 fe 8f 00 
Neil Brady,74 fe 8f 00 
Neil Wilkinson,57 f7 97 00 
Nelson Emerson,3d b1 9a 00 
Nick Kypreos,3d b1 9a 00 
Nicklas Lidstrom,3d b1 9a 00 
Nikolai Borshevsky,57 9e 97 00 
Norm Maciver,44 ea 99 00 
Owen Nolan,1f 80 9a 00 
Pat Conacher,3d b1 9a 00 
Pat Elynuik,74 fe 8f 00 
Pat Falloon,0c 93 98 00 
Pat Jablonski,4e c6 99 00 
Pat LaFontaine,c7 b2 99 00 
Pat Verbeek,08 b6 98 00 
Patrice Brisebois,3d b1 9a 00 
Patrick Flatley,e8 e1 99 00 
Patrick Poulin,e8 e1 99 00 
Patrick Roy,2e 86 9a 00 
Paul Broten,e8 e1 99 00 
Paul Cavallini,74 fe 8f 00 
Paul Coffey,0f 94 9a 00 
Paul MacDermid,74 fe 8f 00 
Paul Ranheim,3d b1 9a 00 
Paul Stanton,3d b1 9a 00 
Paul Ysebaert,74 fe 8f 00 
Pavel Bure,57 b8 98 00 
Pelle Eklund,e8 e1 99 00 
Perry Berezan,3d b1 9a 00 
Peter Ahola,e8 e1 99 00 
Peter Andersson,e8 e1 99 00 
Peter Bondra,56 ec 99 00 
Peter Douris,3d b1 9a 00 
Peter Sidorkwicz,ec fd 8c 00 
Peter Stastny,e8 e1 99 00 
Peter Taglianeti,e8 e1 99 00 
Peter Zezel,3d b1 9a 00 
Petr Klima,82 c6 97 00 
Petr Nedved,74 fe 8f 00 
Petr Svoboda,6a b1 98 00 
Phil Bourque,3d b1 9a 00 
Phil Housley,91 9d 9a 00 
Philippe Bozon,e8 e1 99 00 
Pierre Turgeon,25 82 9a 00 
Randy Carlyle,74 fe 8f 00 
Randy Cunnyworth,e8 e1 99 00 
Randy Gilhen,e8 e1 99 00 
Randy Ladouceur,d5bf9900
Randy McKay,3d b1 9a 00 
Randy Moller,3d b1 9a 00 
Randy Wood,3d b1 9a 00 
Ray Bourque,00 80 99 00 
Ray Ferraro,3d b1 9a 00 
Ray Sheppard,e8 e1 99 00 
Reggie Savage,e8 e1 99 00 
Rene Chapdlaine,3d b1 9a 00 
Ric Nattress,e8 e1 99 00 
Rich Sutter,74 fe 8f 00 
Richard Matvichuk,3d b1 9a 00 
Richard Pilon,74 fe 8f 00 
Richard Smehlik,74 fe 8f 00 
Rick Knickle,4e c6 99 00 
Rick Tabaracci,4e c6 99 00 
Rick Tocchet,3d b1 9a 00 
Rick Zombo,74 fe 8f 00 
Rob Blake,87 a8 97 00 
Rob Brown,e8 e1 99 00 
Rob DiMaio,74 fe 8f 00 
Rob Gaudreau,3d b1 9a 00 
Rob Murphy,3d b1 9a 00 
Rob Pearson,3d b1 9a 00 
Rob Ramage,74 fe 8f 00 
Rob Ray,e8 e1 99 00 
Rob Zamuner,74 fe 8f 00 
Rob Zettler,74 fe 8f 00 
Robb Stauber,4e c6 99 00 
Robert Dirk,74 fe 8f 00 
Robert Kron,74 fe 8f 00 
Robert Petrovicky,3d b1 9a 00 
Robert Reichel,e8 e1 99 00 
Robin Bawa,74fe8f00
Rod BrindAmour,8e fc 98 00 
Rod Langway,74 fe 8f 00 
Roger Johansson,e8 e1 99 00 
Roman Hamrlik,32 88 9a 00 
Ron Francis,e8 e1 99 00 
Ron Hextall,17 ef 98 00 
Ron Sutter,e8 e1 99 00 
Ron Tugnutt,4ec69900
Ron Wilson,74 fe 8f 00 
Ronnie Stern,3d b1 9a 00 
Russ Courtnall,23 f0 97 00 
Russ Romaniuk,3d b1 9a 00 
Ryan McGill,74 fe 8f 00 
Sandis Ozolinsh,3d b1 9a 00 
Scott Lachance,3d b1 9a 00 
Scott Mellanby,79 84 99 00 
Scott Niedrmayer,e8 e1 99 00 
Scott Pearson,e8 e1 99 00 
Scott Pellerin,e8 e1 99 00 
Scott Stevens,58 f1 98 00 
Scott Young,74 fe 8f 00 
Sean Burke,01 dd 98 00 
Sean Hill,74fe8f00
Sergei Bautin,e8 e1 99 00 
Sergei Fedorov,e2 fd 90 00 
Sergei Makarov,e8 e1 99 00 
Sergei Nemchinov,74 fe 8f 00 
Sergei Zubov,e8 e1 99 00 
Sergio Momesso,74 fe 8f 00 
Shane Churla,e8 e1 99 00 
Shawn Anderson,3d b1 9a 00 
Shawn Burr,3d b1 9a 00 
Shawn Chambers,74 fe 8f 00 
Shawn Cronin,3d b1 9a 00 
Shawn McEachern,74 fe 8f 00 
Shayne Corson,8c bc 97 00 
Sheldon Kennedy,3d b1 9a 00 
Shjon Podein,74 fe 8f 00 
Stan Drulia,e8 e1 99 00 
Steph Beauregard,4e c6 99 00 
Stephan Lebeau,e8 e1 99 00 
Stephane Fiset,4e c6 99 00 
Stephane Matteau,3d b1 9a 00 
Stephane Quintal,3d b1 9a 00 
Stephane Richer,3d b1 9a 00 
Stephane Richer,d6 a6 9a 00 
Stephen Heinze,3d b1 9a 00 
Stephen Leach,74 fe 8f 00 
Steve Chiasson,b4 fa 99 00 
Steve Duchesne,25 d3 99 00 
Steve Kasper,3d b1 9a 00 
Steve Konowlchuk,3d b1 9a 00 
Steve Konroyd,3d b1 9a 00 
Steve Larmer,f3 cd 97 00 
Steve Maltais,3d b1 9a 00 
Steve Smith,25 8b 99 00 
Steve Thomas,77 a3 98 00 
Steve Yzerman,26 c4 99 00 
Steven Finn,3d b1 9a 00 
Steven King,e8e19900
Steven Rice,3d b1 9a 00 
Stewart Gavin,74 fe 8f 00 
Stu Barnes,74 fe 8f 00 
Stu Grimson,3db19a00
Sylvain Cote,3d b1 9a 00 
Sylvain Lefebvre,e8 e1 99 00 
Sylvain Turgeon,67 ae 99 00 
Ted Donato,3d b1 9a 00 
Teemu Selanne,2a 84 9a 00 
Teppo Numminen,3d 82 99 00 
Terry Carkner,3d b1 9a 00 
Terry Yake,f3bc9800
Theoren Fleury,52 eb 97 00 
Thomas Steen,e2 d2 97 00 
Tie Domi,74 fe 8f 00 
Tim Bergland,3d b1 9a 00 
Tim Cheveldae,d7 f5 98 00 
Tim Hunter,74 fe 8f 00 
Tim Sweeney,3db19a00
Tim Watters,74 fe 8f 00 
Todd Elik,74 fe 8f 00 
Todd Ewen,e8 e1 99 00 
Todd Gill,e6 d3 98 00 
Todd Krygier,3d b1 9a 00 
Tom Barrasso,a3 f6 99 00 
Tom Chorske,3d b1 9a 00 
Tom Draper,4e c6 99 00 
Tom Fergus,e8 e1 99 00 
Tom Fitzgerald,e8 e1 99 00 
Tom Kurvers,74 fe 8f 00 
Tom Pederson,e8 e1 99 00 
Tomas Jelinek,e8 e1 99 00 
Tomas Sandstrom,cc d7 97 00 
Tommy Albelin,3d b1 9a 00 
Tommy Sjodin,20 a1 98 00 
Tommy Soderstrom,50 8e 98 00 
Tony Amonte,74 fe 8f 00 
Tony Granato,74 fe 8f 00 
Tony Twist,3d b1 9a 00 
Travis Green,74 fe 8f 00 
Trent Klatt,3d b1 9a 00 
Trent Yawney,74 fe 8f 00 
Trevor Linden,74 fe 8f 00 
Troy Loney,31999700
Troy Mallette,e8 e1 99 00 
Troy Murray,74 fe 8f 00 
Ulf Dahlen,e8 e1 99 00 
